npi_number,organization_name,last_updated_nppes,facility_name,address,city,state,postal_code,phone,taxonomy_code,last_updated,facility_setting,facility_description,years_in_operation,medication_assisted_treatment,offers_private_rooms,facebook_url,youtube_url,instagram_url,twitter_url,linkedin_url,ogdescription,robots_string,official_screenshot,markdown_content,firecrawl_metadata,screenshot_urls,extraction_date,data_source_url,service_areas,donation_info,key_features,processing_status,extraction_completed,created_at,updated_at
1003040445,NEWPORT COAST RECOVERY,2009-05-13 00:00:00,,1500 W BALBOA BLVD,NEWPORT BEACH,CA,926634548,9496733097,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003042656,DIVINE HOPE COUNSELING,2012-06-08 00:00:00,,328 3RD ST SW,WILLMAR,MN,562013475,3202319763,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003045782,GALILEE MISSION,2022-08-22 00:00:00,,268 KINGSTOWN RD,NARRAGANSETT,RI,028823237,4017899390,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003053570,"THE RIVER SOURCE TREATMENT CENTER CASA GRANDE, LLC",2023-06-14 00:00:00,,PO BOX 4293,ARIZONA CITY,AZ,851232669,8886877332,251S00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003056201,THE EFFORT DETOX,2009-02-27 00:00:00,,7586 STOCKTON BLVD,SACRAMENTO,CA,958233923,9164054600,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003102120,"COMMUNITY BRIDGES, INC.",2023-03-02 00:00:00,,1855 W BASELINE RD STE 101,MESA,AZ,852029098,4808317566,251S00000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003104340,LATINO COMMISSION ON ALCOHOL AND DRUG ABUSE SERVICES OF SAN MATEO COUN,2023-11-13 00:00:00,,1001 SNEATH LN STE 307,SAN BRUNO,CA,940662349,6502441442,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003107780,YELLOWSTONE WOMEN'S FIRST STEP HOUSE INC,2011-04-28 00:00:00,,154 EAST BAY STREET,COSTA MESA,CA,92627,8889419048,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003125279,REHAB AFTER WORK OF FLORIDA,2010-10-05 00:00:00,,5405 OKEECHOBEE BLVD,WEST PALM BEACH,FL,334174543,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003125543,"SOBER LIVING BY THE SEA, INC",2020-04-21 00:00:00,,2800 LAFAYETTE RD,NEWPORT BEACH,CA,926633753,8006470042,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003145582,NATCHAUG HOSPITAL,2009-12-13 00:00:00,,42 CAMPBELL AVE,VERNON,CT,060665404,Unknown,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003154345,"KLEAN ASTORIA - OR, LLC",2014-05-12 00:00:00,,9000 W SUNSET BLVD,WEST HOLLYWOOD,CA,900695801,3107404843,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003172503,ALTERNATIVE YOUTH CARE,2012-04-09 00:00:00,,4880 US HIGHWAY 93 S,KALISPELL,MT,599017985,4068572506,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
1003177825,"THE ROCK RECOVERY & WELLNESS CENTER, INC.",2012-06-07 00:00:00,,755 LAKE BLVD,REDDING,CA,960032235,5302291704,324500000X,2025-07-04 22:43:39.267523,,,,false,false,,,,,,,,,,,,,,,,,pending,false,2025-07-04 22:43:39.267523,2025-07-04 22:43:39.267523
